Sort,Year,Redd_Name,Section,Date_New,Latitude,Longitude,Meas,rm,rkm,Stream,Redd_Count
50,2003,2100210SS,2,10/2/2003,46.160806,-122.649832,123520.2249,23.39398,37.64908,Coweeman River,1
51,2003,2100211SS,2,10/2/2003,46.160137,-122.65114,123135.8837,23.32119,37.53193,Coweeman River,1
52,2003,2100212SS,2,10/2/2003,46.16058,-122.653443,122495.3396,23.19987,37.33669,Coweeman River,1
53,2003,2100213SS,2,10/2/2003,46.162037,-122.659829,120611.8147,22.84315,36.76259,Coweeman River,1
54,2003,2100214SS,2,10/2/2003,46.161382,-122.661964,119996.8629,22.72668,36.57515,Coweeman River,1
55,2003,2100215SS,2,10/2/2003,46.159503,-122.666413,118513.8874,22.44581,36.12314,Coweeman River,1
56,2003,2100216SS,2,10/2/2003,46.159126,-122.66901,117760.3583,22.3031,35.89347,Coweeman River,1
57,2003,2100217SS,2,10/2/2003,46.158909,-122.669122,117734.0226,22.29811,35.88544,Coweeman River,1
58,2003,2100218SS,2,10/2/2003,46.160039,-122.670815,117138.3419,22.18529,35.70387,Coweeman River,1
59,2003,2100219SS,2,10/2/2003,46.160058,-122.670721,117152.3443,22.18794,35.70814,Coweeman River,1
60,2003,2100220SS,2,10/2/2003,46.160817,-122.672125,116693.9599,22.10113,35.56843,Coweeman River,1
61,2003,2100222SS,2,10/2/2003,46.159387,-122.675786,115411.5496,21.85825,35.17755,Coweeman River,1
62,2003,2100223SS,2,10/2/2003,46.159467,-122.675841,115413.637,21.85864,35.17818,Coweeman River,1
63,2003,2100224SS,2,10/2/2003,46.160928,-122.679669,114230.0489,21.63448,34.81742,Coweeman River,1
64,2003,2100225SS,2,10/2/2003,46.161069,-122.679582,114238.066,21.636,34.81987,Coweeman River,1
65,2003,2100226SS,2,10/2/2003,46.16354,-122.683795,112760.0017,21.35606,34.36935,Coweeman River,1
66,2003,2100227SS,2,10/2/2003,46.16348,-122.683889,112748.1953,21.35382,34.36575,Coweeman River,1
67,2003,2100901SH,2,10/9/2003,46.164678,-122.630185,131366.2473,24.87997,40.04055,Coweeman River,1
68,2003,2100901SS,2,10/9/2003,46.168518,-122.617716,135286.0821,25.62236,41.23532,Coweeman River,1
69,2003,2100902SH,2,10/9/2003,46.165731,-122.634298,130148.2012,24.64928,39.66929,Coweeman River,1
70,2003,2100902SS,2,10/9/2003,46.168458,-122.617775,135274.8969,25.62024,41.23191,Coweeman River,1
71,2003,2100903SS,2,10/9/2003,46.168244,-122.623327,133726.8027,25.32705,40.76005,Coweeman River,1
72,2003,2100904SH,2,10/9/2003,46.168631,-122.639643,127936.5782,24.23041,38.99519,Coweeman River,1
73,2003,2100904SS,2,10/9/2003,46.168144,-122.624883,133326.3677,25.25121,40.638,Coweeman River,1
74,2003,2100905SH,2,10/9/2003,46.168627,-122.639738,127912.9321,24.22593,38.98798,Coweeman River,1
75,2003,2100905SS,2,10/9/2003,46.16815,-122.624961,133306.5742,25.24746,40.63197,Coweeman River,1
76,2003,2100906SS,2,10/9/2003,46.168165,-122.624977,133303.0485,25.24679,40.63089,Coweeman River,1
77,2003,2100907SH,2,10/9/2003,46.167984,-122.641415,127390.0676,24.12691,38.82861,Coweeman River,1
78,2003,2100908SH,2,10/9/2003,46.166253,-122.643736,126541.7422,23.96624,38.57004,Coweeman River,1
79,2003,2100909SH,2,10/9/2003,46.166253,-122.643736,126541.7422,23.96624,38.57004,Coweeman River,1
80,2003,2100910SH,2,10/9/2003,46.162026,-122.645999,124829.8956,23.64202,38.04827,Coweeman River,1
81,2003,2100911SH,2,10/9/2003,46.162077,-122.64592,124864.013,23.64849,38.05867,Coweeman River,1
82,2003,2100912SH,2,10/9/2003,46.161848,-122.64609,124756.0737,23.62804,38.02576,Coweeman River,1
83,2003,2100913SH,2,10/9/2003,46.161716,-122.64621,124697.38,23.61693,38.00788,Coweeman River,1
84,2003,2100914SH,2,10/9/2003,46.161616,-122.646303,124652.5108,23.60843,37.9942,Coweeman River,1
85,2003,2100915SH,2,10/9/2003,46.161603,-122.646369,124627.2796,23.60365,37.98651,Coweeman River,1
86,2003,2100916SH,2,10/9/2003,46.161119,-122.646671,124446.7961,23.56947,37.9315,Coweeman River,1
87,2003,2100917SH,2,10/9/2003,46.161229,-122.646581,124502.7726,23.58007,37.94856,Coweeman River,1
88,2003,2100918SH,2,10/9/2003,46.160982,-122.646732,124397.8491,23.5602,37.91658,Coweeman River,1
89,2003,2100919SH,2,10/9/2003,46.160944,-122.646778,124378.7434,23.55658,37.91076,Coweeman River,1
90,2003,2100920SH,2,10/9/2003,46.16092,-122.64678,124371.8203,23.55527,37.90865,Coweeman River,1
91,2003,2100921SH,2,10/9/2003,46.1609,-122.646832,124352.5878,23.55163,37.90278,Coweeman River,1
92,2003,2100922SH,2,10/9/2003,46.160802,-122.646902,124313.8978,23.5443,37.89099,Coweeman River,1
93,2003,2100923SH,2,10/9/2003,46.160577,-122.649852,123501.0913,23.39036,37.64325,Coweeman River,1
94,2003,2100924SH,2,10/9/2003,46.16052,-122.649767,123519.3074,23.39381,37.6488,Coweeman River,1
95,2003,2100925SH,2,10/9/2003,46.160957,-122.658696,121075.3918,22.93095,36.90389,Coweeman River,1
96,2003,2100926SH,2,10/9/2003,46.159612,-122.666604,118486.5122,22.44063,36.1148,Coweeman River,1
97,2003,2100930SH,2,10/9/2003,46.160633,-122.665806,118796.9606,22.49942,36.20942,Coweeman River,1
98,2003,2100931SH,2,10/9/2003,46.160006,-122.665975,118726.7192,22.48612,36.18801,Coweeman River,1
99,2003,2100932SH,2,10/9/2003,46.15921,-122.668788,117814.3473,22.31332,35.90992,Coweeman River,1
100,2003,2100933SH,2,10/9/2003,46.159257,-122.668865,117795.0235,22.30966,35.90403,Coweeman River,1
101,2003,2101601SH,2,10/16/2003,46.162612,-122.686682,111949.096,21.20248,34.12219,Coweeman River,1
102,2003,2101601SN,2,10/16/2003,46.164639,-122.630513,131274.9705,24.86268,40.01273,Coweeman River,1
103,2003,2101601SS,2,10/16/2003,46.160036,-122.651671,122982.277,23.2921,37.48511,Coweeman River,1
104,2003,2101602SH,2,10/16/2003,46.163446,-122.684192,112674.6625,21.3399,34.34334,Coweeman River,1
105,2003,2101602SN,2,10/16/2003,46.16803,-122.636344,129157.8988,24.46172,39.36745,Coweeman River,1
106,2003,2101602SS,2,10/16/2003,46.161511,-122.659195,120849.5549,22.88817,36.83506,Coweeman River,1
107,2003,2101603SH,2,10/16/2003,46.16353,-122.684143,112687.0314,21.34224,34.34711,Coweeman River,1
108,2003,2101603SN,2,10/16/2003,46.16178,-122.646171,124722.1253,23.62161,38.01542,Coweeman River,1
109,2003,2101603SS,2,10/16/2003,46.159976,-122.665969,118721.165,22.48507,36.18632,Coweeman River,1
110,2003,2101604SH,2,10/16/2003,46.162369,-122.682927,113208.2966,21.44097,34.50599,Coweeman River,1
111,2003,2101604SS,2,10/16/2003,46.159561,-122.66646,118512.9941,22.44564,36.12287,Coweeman River,1
112,2003,2101605SH,2,10/16/2003,46.161872,-122.682578,113382.4546,21.47395,34.55908,Coweeman River,1
113,2003,2101605SS,2,10/16/2003,46.159216,-122.668953,117773.92,22.30567,35.8976,Coweeman River,1
114,2003,2101606SH,2,10/16/2003,46.161774,-122.682591,113402.3471,21.47772,34.56514,Coweeman River,1
115,2003,2101606SS,2,10/16/2003,46.15913,-122.668928,117781.0079,22.30701,35.89976,Coweeman River,1
116,2003,2101607SH,2,10/16/2003,46.161751,-122.682652,113392.8137,21.47591,34.56223,Coweeman River,1
117,2003,2101607SS,2,10/16/2003,46.159222,-122.669157,117722.3419,22.2959,35.88188,Coweeman River,1
118,2003,2101608SS,2,10/16/2003,46.160082,-122.678024,114743.2888,21.73168,34.97386,Coweeman River,1
119,2003,2101609SS,2,10/16/2003,46.16025,-122.678352,114637.3091,21.71161,34.94156,Coweeman River,1
120,2003,2101610SS,2,10/16/2003,46.160196,-122.67832,114652.8476,21.71455,34.94629,Coweeman River,1
121,2003,2101611SS,2,10/16/2003,46.160529,-122.678724,114508.9911,21.68731,34.90245,Coweeman River,1
122,2003,2101612SS,2,10/16/2003,46.160879,-122.679567,114260.9302,21.64033,34.82684,Coweeman River,1
123,2003,2101613SS,2,10/16/2003,46.160876,-122.679639,114242.9565,21.63692,34.82136,Coweeman River,1
124,2003,2101614SS,2,10/16/2003,46.160852,-122.679672,114237.0553,21.63581,34.81956,Coweeman River,1
125,2003,2101615SS,2,10/16/2003,46.161133,-122.681368,113784.2668,21.55005,34.68155,Coweeman River,1
126,2003,2101616SS,2,10/16/2003,46.161801,-122.682442,113431.3499,21.48321,34.57398,Coweeman River,1
127,2003,2101617SS,2,10/16/2003,46.161723,-122.682576,113416.0612,21.48031,34.56932,Coweeman River,1
128,2003,2102201PS,2,10/22/2003,46.16108,-122.680149,114096.9918,21.60928,34.77687,Coweeman River,1
129,2003,2102201SH,2,10/22/2003,46.160117,-122.651649,122984.5908,23.29254,37.48582,Coweeman River,1
130,2003,2102201SS,2,10/22/2003,46.166913,-122.612561,136759.7338,25.90146,41.68449,Coweeman River,1
131,2003,2102202PS,2,10/22/2003,46.161015,-122.680112,114111.4062,21.61201,34.78126,Coweeman River,1
132,2003,2102202SH,2,10/22/2003,46.160467,-122.653526,122480.6892,23.1971,37.33223,Coweeman River,1
133,2003,2102202SS,2,10/22/2003,46.166906,-122.613713,136452.5388,25.84328,41.59086,Coweeman River,1
134,2003,2102203PS,2,10/22/2003,46.160984,-122.679634,114233.3951,21.63511,34.81844,Coweeman River,1
135,2003,2102203SS,2,10/22/2003,46.168503,-122.617684,135295.2474,25.6241,41.23812,Coweeman River,1
136,2003,2102204PS,2,10/22/2003,46.160129,-122.678401,114642.4127,21.71258,34.94311,Coweeman River,1
137,2003,2102208SS,2,10/22/2003,46.16837,-122.623243,133744.9732,25.33049,40.76559,Coweeman River,1
138,2003,2102209SS,2,10/22/2003,46.168376,-122.623174,133762.2242,25.33376,40.77085,Coweeman River,1
139,2003,2102210SS,2,10/22/2003,46.1684,-122.623134,133771.9195,25.33559,40.7738,Coweeman River,1
140,2003,291801PS,2,9/18/2003,46.168804,-122.639765,127935.9811,24.2303,38.995,Coweeman River,1
141,2003,291802PS,2,9/18/2003,46.168103,-122.641312,127425.9422,24.1337,38.83955,Coweeman River,1
142,2003,291803PS,2,9/18/2003,46.161975,-122.645705,124853.4713,23.64649,38.05545,Coweeman River,1
143,2003,292401SH,2,9/24/2003,46.164767,-122.63197,130894.2356,24.79058,39.89668,Coweeman River,1
144,2003,292401SS,2,9/24/2003,46.168128,-122.617413,135391.8772,25.6424,41.26757,Coweeman River,1
145,2003,292402SH,2,9/24/2003,46.165251,-122.633915,130331.8684,24.68407,39.72527,Coweeman River,1
146,2003,292402SS,2,9/24/2003,46.168074,-122.6234,133712.1953,25.32428,40.7556,Coweeman River,1
147,2003,292403SH,2,9/24/2003,46.166967,-122.635754,129590.0255,24.54357,39.49916,Coweeman River,1
148,2003,292404SH,2,9/24/2003,46.16839,-122.639672,127889.314,24.22146,38.98078,Coweeman River,1
149,2003,292405SH,2,9/24/2003,46.1685,-122.639638,127915.9077,24.2265,38.98889,Coweeman River,1
150,2003,292406SH,2,9/24/2003,46.168402,-122.639866,127844.3921,24.21295,38.96709,Coweeman River,1
151,2003,292407SH,2,9/24/2003,46.168286,-122.639885,127820.4244,24.20841,38.95978,Coweeman River,1
152,2003,292408SH,2,9/24/2003,46.167915,-122.640515,127605.8906,24.16778,38.89439,Coweeman River,1
153,2003,292409SH,2,9/24/2003,46.162145,-122.645992,124887.183,23.65288,38.06573,Coweeman River,1
154,2003,292410SH,2,9/24/2003,46.162117,-122.646025,124876.2849,23.65081,38.0624,Coweeman River,1
155,2003,292411SH,2,9/24/2003,46.159775,-122.651962,122919.0963,23.28013,37.46585,Coweeman River,1
156,2003,292412SH,2,9/24/2003,46.159874,-122.665888,118715.4526,22.48399,36.18458,Coweeman River,1
157,2003,292413SH,2,9/24/2003,46.159935,-122.666012,118702.4079,22.48152,36.1806,Coweeman River,1
158,2003,292414SH,2,9/24/2003,46.159655,-122.666317,118564.0002,22.4553,36.13842,Coweeman River,1
159,2003,292415SH,2,9/24/2003,46.161001,-122.671816,116762.1045,22.11403,35.5892,Coweeman River,1
160,2003,292416SH,2,9/24/2003,46.161198,-122.6746,116069.7924,21.98292,35.37818,Coweeman River,1
161,2003,292417SH,2,9/24/2003,46.15995,-122.678063,114748.5381,21.73268,34.97546,Coweeman River,1
162,2003,292418SH,2,9/24/2003,46.159963,-122.67799,114765.3796,21.73587,34.98059,Coweeman River,1
163,2003,292419SH,2,9/24/2003,46.161178,-122.681337,113788.6646,21.55088,34.68289,Coweeman River,1
164,2003,292420SH,2,9/24/2003,46.162052,-122.682121,113452.2542,21.48717,34.58035,Coweeman River,1
165,2003,292421SH,2,9/24/2003,46.161923,-122.682466,113401.5319,21.47756,34.56489,Coweeman River,1
166,2003,3100201PS,3,10/2/2003,46.163342,-122.689367,110997.334,21.02222,33.83209,Coweeman River,1
167,2003,3100202PS,3,10/2/2003,46.164333,-122.689549,110621.0741,20.95096,33.7174,Coweeman River,1
168,2003,3100203PS,3,10/2/2003,46.163813,-122.695237,108805.8481,20.60717,33.16412,Coweeman River,1
169,2003,3100204PS,3,10/2/2003,46.163021,-122.6962,108433.3393,20.53662,33.05058,Coweeman River,1
170,2003,3100205PS,3,10/2/2003,46.163114,-122.696159,108460.9851,20.54185,33.05901,Coweeman River,1
171,2003,3100206PS,3,10/2/2003,46.163063,-122.696242,108433.3393,20.53662,33.05058,Coweeman River,1
172,2003,3100207PS,3,10/2/2003,46.162611,-122.699809,107275.796,20.31738,32.69776,Coweeman River,1
173,2003,3100208PS,3,10/2/2003,46.162637,-122.70017,107179.9614,20.29923,32.66855,Coweeman River,1
174,2003,3100209PS,3,10/2/2003,46.163638,-122.700468,106725.0067,20.21307,32.52988,Coweeman River,1
175,2003,3100210PS,3,10/2/2003,46.163897,-122.699594,106348.0524,20.14168,32.41499,Coweeman River,1
176,2003,3100211PS,3,10/2/2003,46.163774,-122.699605,106341.131,20.14037,32.41288,Coweeman River,1
177,2003,3100212PS,3,10/2/2003,46.165679,-122.698098,105409.9887,19.96401,32.12906,Coweeman River,1
178,2003,3100213PS,3,10/2/2003,46.166268,-122.698756,104759.1399,19.84075,31.93068,Coweeman River,1
179,2003,3100214PS,3,10/2/2003,46.168054,-122.702023,102724.5025,19.4554,31.31052,Coweeman River,1
180,2003,3100215PS,3,10/2/2003,46.168005,-122.702056,102722.8512,19.45509,31.31002,Coweeman River,1
181,2003,3100216PS,3,10/2/2003,46.168996,-122.704208,102124.0381,19.34167,31.1275,Coweeman River,1
182,2003,3100217PS,3,10/2/2003,46.167976,-122.710942,99911.73656,18.92268,30.45319,Coweeman River,1
183,2003,3100218PS,3,10/2/2003,46.168293,-122.711251,99681.27687,18.87903,30.38294,Coweeman River,1
184,2003,3100219PS,3,10/2/2003,46.169365,-122.712599,99092.58886,18.76754,30.20351,Coweeman River,1
185,2003,3100220PS,3,10/2/2003,46.169455,-122.712602,99094.53471,18.7679,30.20411,Coweeman River,1
186,2003,3100221PS,3,10/2/2003,46.171704,-122.714348,97902.36694,18.54211,29.84073,Coweeman River,1
187,2003,3100222PS,3,10/2/2003,46.17212,-122.714013,97732.67118,18.50998,29.78901,Coweeman River,1
188,2003,3100223PS,3,10/2/2003,46.172141,-122.714012,97726.99976,18.5089,29.78728,Coweeman River,1
189,2003,3100224PS,3,10/2/2003,46.172135,-122.714015,97729.16592,18.50931,29.78794,Coweeman River,1
190,2003,3100225PS,3,10/2/2003,46.172777,-122.713327,97452.15978,18.45685,29.70351,Coweeman River,1
191,2003,3100226PS,3,10/2/2003,46.172776,-122.713296,97444.60186,18.45542,29.7012,Coweeman River,1
192,2003,3100227PS,3,10/2/2003,46.172917,-122.713308,97359.69782,18.43934,29.67533,Coweeman River,1
