Spawn_Year,CK_adults,CK_SY,Weir,CK_adult_AW,CK_fry,Weir_efficiency_median
2005,1509,71780,0,1358.1,,0
2006,906,104545,0,815.4,"89,821",0
2007,867,60467,0,780.3,"42,440",0
2009,371,79170,0,333.9,"371,234",0
2010,597,48469,0,537.3,"260,476",0
2011,707,44452,1,571,"200,556",0.603
2012,526,39574,1,331,"98,698",0.602
2013,2322,79342,1,2275,"1,848,786",0.073
2014,830,41997,1,659,,0.788
2015,1391,20443,1,1258,"24,580",0.977
2016,439,32459,1,436,"275,963",0.184
2017,841,70238,1,769,,0.712
